Climate_Factor,Impact_Finding,Key_Data_Result,Year,Source_(APA_Format)_and_Link,Section,Subsection,Pest_Type,Climate-Related_Risk,Yield_Loss_Potential,Region_Affected,Input_Category,Cost_Trend,Specific_Data,Key_Data_Result_numeric,Yield_Loss_Potential_numeric,Cost_Trend_numeric,Specific_Data_numeric
El Ni単o Effects,Stagnant rice production due to El Ni単o and La Ni単a,Production estimate revised from 20.44 MMT to 20.10 MMT (2024),2024,Department of Agriculture (2024). Rice production and price trends. https://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/,Challenges,climate_change,,,,,,,,20.44,,,
Production Decline,Palay output dropped to 4-year low,19.09 MMT (4.84% decline from 2023; weakest since 2020),2024,Philippine Statistics Authority (2025). Palay production data 2024. https://www.da.gov.ph/wp-content/uploads/2025/01/Clippings-for-January-22-2025.pdf,Challenges,climate_change,,,,,,,,19.09,,,
ENSO-Induced Variability,Soil moisture driven by ENSO affects rice yields,Upland rainfed systems highly sensitive; irrigated systems more stable,2018,"Konar, M., Bhattacharya, S., & Subramanian, R. (2018). Climate variability impacts on rice production. https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/",Challenges,climate_change,,,,,,,,,,,
Seasonal Production Pattern,Wet-season rice most affected by stochastic rainfall,Wet season (Q3-Q4) rainfall dominated by tropical cyclone activity,2018,Konar et al. (2018). Climate variability impacts. https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/,Challenges,climate_change,,,,,,,,3.0,,,
Climate Risk Impact,"Typhoons, floods, droughts as major loss causes",82.4% of total rice losses (1970-1990) caused by climate disasters,2000,"Yoshida, S., & Cruz, F. R. (2000). Agronomic impacts of climate variability. https://www.sciencedirect.com/science/article/abs/pii/S016788090000222X",Challenges,climate_change,,,,,,,,82.4,,,
Regional Variation,Central Luzon shows variable response to climate,Central Luzon low correlations vs. Mimaropa strong positive correlations,2018,Konar et al. (2018). Climate variability impacts. https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/,Challenges,climate_change,,,,,,,,,,,
,,,,Department of Agriculture - PhilRice (2025). Climate-Smart Pest Management. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Challenges,pest_infestations,Rice Stemborers,Increased survival in warmer conditions,Up to 90% field yield loss when heavily infested,"Central Luzon, Western Visayas, Bicol, CAR",,,,,90.0,,
,,,,Department of Agriculture - PhilRice (2025). CSPM Initiative. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Challenges,pest_infestations,Brown Planthoppers,Optimal weather conditions for population growth,Significant crop damage potential,Multiple regions nationwide,,,,,,,
,,,,Department of Agriculture - PhilRice (2025). CSPM Project. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Challenges,pest_infestations,Rice Bugs,Expanded geographical distribution due to climate,Crop damage increasing nationwide,"Central Luzon, Western Visayas, Bicol, CAR",,,,,,,
,,,,Department of Agriculture - PhilRice (2025). Pest Management. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Challenges,pest_infestations,Rodent Infestations,El Ni単o creates breeding conditions,Severe infestation warning issued 2024,"Central Luzon, Western Visayas, Bicol, CAR",,,,,2024.0,,
,,,2023,Department of Finance - Tax Academy (2024). Determinants of rice prices. https://doftaxacademy.gov.ph/wp-content/uploads/2024/04/Rice-Research-2-20-2024.pdf,Challenges,input_costs,,,,,Production Cost per kg,Higher than Asian average,7.0% higher than average of 6 Asian countries,,,,7.0
,,,2018-2023,Department of Finance - Tax Academy (2024). Rice prices analysis. https://doftaxacademy.gov.ph/wp-content/uploads/2024/04/Rice-Research-2-20-2024.pdf,Challenges,input_costs,,,,,Production Cost per hectare,Decreased then increased,Php 11.76/kg (2018) to Php 11.45 (2019); increased recently,,,,11.76
,,,2024,Philippine Information Service (2024). Rice production trends. https://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/,Challenges,input_costs,,,,,Farmgate Price Impact,Rising input costs passed to farmers,Php 18.72/kg (2023) to Php 24.70/kg (Jan-Jul 2024) = 31.98% increase,,,,18.72
,,,2015-2024,Philippine Rice Research Institute (2024). Ricelytics database. https://ricelytics.philrice.gov.ph/staging/costs_and_returns,Challenges,input_costs,,,,,Fertilizer/Pesticide Use,Cost component of production expenses,Included in PSA Costs and Returns survey; available via Ricelytics,,,,
,,,2024,Philippine Statistics Authority (2024). Costs and returns data. https://ricelytics.philrice.gov.ph/staging/costs_and_returns,Challenges,input_costs,,,,,Resource Expense Distribution,Average distribution of production costs,"Tracked by PSA across irrigated, rainfed upland, rainfed lowland",,,,
