Environmental_Cost_Factor,Description_Data,Current_Status,Year,Source_APA_Format_and_Link,Section,Subsection,Resource_Type,Efficiency_Indicator,Measurement_Approach,Environmental_Performance_Indicator,Indicator_Definition,Current_Status_Target,Technology_Initiative,Green_Accounting_Integration,Status,Program_Policy,Green_Accounting_Relevance,Environmental_Benefit,Training_Capacity_Building_Program,Green_Accounting_Environmental_Focus,Sustainability_Objective,Description_Data_numeric
Carbon Footprint from Rice Cultivation,Rice cultivation = 44% agriculture emissions = 33.8 MtCO2e,Tracked in national GHG inventory; major mitigation focus,2017,National Integrated Climate Change Database (2017). Agriculture emissions. https://niccdies.climate.gov.ph/mitigation/agriculture,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,33.8
Total Agriculture Emissions,Agriculture = 29% Philippines total GHG (37 MtCO2e baseline 2000),Projected 50 MtCO2e by 2030 BAU; mitigation can prevent emissions,2017,NICCDIES (2017). Agriculture tracking. https://niccdies.climate.gov.ph/mitigation/agriculture,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,37.0
Emission Components (Rice),Rice 62%; Synthetic fertilizers 9%; Crop residues 4%; Fermentation 12%; Manure 13%,Detailed breakdown for policy and cost tracking,2017,Climate Transparency (2020). Agriculture emissions. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,62.0
Methane Emissions Target,Mitigation requirement per 1.5째C pathway,Need 10% decline by 2030; 35% by 2050 (from 2010 levels),2020,Climate Transparency (2020). Climate report. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,
Nitrous Oxide Emissions Target,Mitigation requirement per 1.5째C pathway,Need 10% decline by 2030; 20% by 2050 (from 2010 levels),2020,Climate Transparency (2020). Climate report. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,
Environmental Monitoring Infrastructure,PAGASA climate; DENR environmental assessment; soil moisture monitoring,Available via PAGASA monthly review; DENR monitoring,2024-2025,PAGASA (2025). Agro-Climatic Review. https://www.pagasa.dost.gov.ph/agri-weather/monthly-agroclimatic-review-and-outlook,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,
,,,2018,Konar et al. (2018). Soil moisture monitoring. https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/,Green Accounting,resource_efficiency,Soil Moisture,Key driver of rice yield variability,Quarterly monitoring; ENSO affects rainfed and irrigated differently,,,,,,,,,,,,,
,,,2015-2024,Philippine Statistics Authority (2024). Costs database. https://ricelytics.philrice.gov.ph/staging/costs_and_returns,Green Accounting,resource_efficiency,Fertilizer Use Efficiency,Nutrient efficiency optimization,PSA Costs and Returns survey; IOA systems improve efficiency,,,,,,,,,,,,,
,,,2024,Department of Agriculture (2024). Masagana goals. https://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/,Green Accounting,resource_efficiency,Yield per Hectare,Productivity efficiency metric,National average 84 sacks/ha; RCEF targets exceeding 25 MMT,,,,,,,,,,,,,
,,,2025,Philippine Rice Research Institute (2025). Water efficiency. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Green Accounting,resource_efficiency,Water Resource Efficiency,Irrigated vs. rainfed water use patterns,Solar irrigation and water impounding reduce costs and improve efficiency,,,,,,,,,,,,,
,,,2015-2025,Farm indicators research (2004). Accounting systems. https://www.sciencedirect.com/science/article/abs/pii/S0167880904001495,Green Accounting,resource_efficiency,Pesticide Application Efficiency,IPM reduces pesticide use while maintaining yield,IOA systems encourage reduced pesticide use and less toxic choices,,,,,,,,,,,,,
,,,2020,Climate Transparency (2020). 1.5째C pathway. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,Green Accounting,sustainability_reporting,,,,GHG Emissions Reduction Pathway,Carbon footprint tracking toward climate targets,"1.5째C: Methane -10% (2030), -35% (2050); N2O -10% (2030), -20% (2050)",,,,,,,,,,
,,,2017,NICCDIES (2017). Agriculture mitigation. https://niccdies.climate.gov.ph/mitigation/agriculture,Green Accounting,sustainability_reporting,,,,Agricultural Emissions Mitigation,"Shift to organic farming, efficient fertilizer, dietary changes",Mitigation strategies prevent substantial GHG vs. BAU,,,,,,,,,,
,,,2025,Philippine Rice Research Institute (2025). Soil health. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Green Accounting,sustainability_reporting,,,,Soil Health Indicator,Soil quality and sustainability,RCEF soil health component; indicator tracking to develop,,,,,,,,,,
,,,2020,Climate Transparency (2020). Sustainability. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,Green Accounting,sustainability_reporting,,,,Land Use Sustainability,Land conversion and ecosystem preservation,"Avoid peatland degradation, wetland conversion, forest creation",,,,,,,,,,
,,,2025,Agriam et al. (2025). Green accounting. https://journals.researchsynergypress.com/index.php/jgrcs/article/download/2638/1715/19672,Green Accounting,sustainability_reporting,,,,Environmental Accountability Reporting,Green accounting in agricultural reporting,Increasing adoption among accountancy students and professionals,,,,,,,,,,
,,,2025,DA (2025). CSPM project. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Green Accounting,technology_adoption_ga,,,,,,,Climate-Smart Pest Management (CSPM),Reduces emissions through efficient pest management,4-year national implementation; reduces losses and emissions,,,,,,,
,,,2025,Philippine Rice Research Institute (2025). RCEF renewables. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Green Accounting,technology_adoption_ga,,,,,,,Solar-Powered Irrigation,Replaces fuel-based irrigation; quantifiable carbon and cost savings,RCEF-funded expansion component,,,,,,,
,,,2024,Climate Tracker Asia (2024). Resilient varieties. https://climatetracker.asia/as-el-nino-rages-farmers-turn-to-climate-resilient-rice-varieties/,Green Accounting,technology_adoption_ga,,,,,,,Climate-Resilient Varieties,Adapted to climate stress; environmental adaptation value,Available and promoted for adoption,,,,,,,
,,,2024-2025,Department of Agriculture (2024). Mechanization. https://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/,Green Accounting,technology_adoption_ga,,,,,,,Mechanization,"Improves efficiency, reduces labor, enables precision input application",RCEF-distributed; environmental impact via optimized resource use,,,,,,,
,,,2025,Philippine Rice Research Institute (2025). RCEF extension. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Green Accounting,government_support_ga,,,,,,,,,,RCEF Extended to 2031,Institutionalized long-term environmental investment,P30 billion annual for sustainability initiatives,,,,
,,,2025,Philippine Rice Research Institute (2025). RCEF components. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Green Accounting,government_support_ga,,,,,,,,,,Soil Health Improvement (RCEF),Direct environmental cost tracking and improvement,Improves long-term farm productivity and environmental health,,,,
,,,2025,DA (2025). CSPM support. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Green Accounting,government_support_ga,,,,,,,,,,Pest Management Support (DA-PhilRice),Reduces pesticide costs and pollution,CSPM program with emissions reduction targets,,,,
,,,2025,Philippine Rice Research Institute (2025). Water initiatives. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Green Accounting,government_support_ga,,,,,,,,,,Water Resource Management (RCEF),Sustainable water tracking; environmental cost,Solar irrigation and water impounding projects,,,,
,,,2025,Philippine Rice Research Institute (2025). RA 12078 framework. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Green Accounting,government_support_ga,,,,,,,,,,RA 12078 Agricultural Tariffication Act,Policy framework for environmental sustainability,Legal basis for RCEF extension and environmental funding,,,,
,,,2025,Agriam et al. (2025). Green accounting. https://journals.researchsynergypress.com/index.php/jgrcs/article/download/2638/1715/19672,Green Accounting,training_programs_ga,,,,,,,,,,,,,Accountancy Student Environmental Awareness,Green accounting education and environmental practice awareness,Building accountants' competency in environmental cost tracking,
,,,2025,DA (2025). CSPM training. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Green Accounting,training_programs_ga,,,,,,,,,,,,,CSPM Training,Environmental knowledge in climate-smart pest management,Equips farmers with practices reducing environmental costs,
,,,2024-2025,Department of Agriculture (2024). RCEF training. https://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/,Green Accounting,training_programs_ga,,,,,,,,,,,,,Sustainable Farming Practices (RCEF),"Soil conservation, water management, resource efficiency",DA/PhilRice training integrated into RCEF programs,
,,,2024-2025,Department of Agriculture (2024). Extension services. https://www.pna.gov.ph/articles/1218736,Green Accounting,training_programs_ga,,,,,,,,,,,,,Extension Services,Ongoing environmental best practices; field-level monitoring,DA extension guidance on sustainable resource use,
,,,2024-2025,Philippine Rice Research Institute (2025). LGU training. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Green Accounting,training_programs_ga,,,,,,,,,,,,,LGU Capacity Building,Local environmental program implementation and monitoring,Training on environmental indicators and RCEF guidelines,
