sample_id,site,replicate,results_recorded,nutrient_growth,gram_reaction,cell_shape,arrangement,bap_growth,hemolysis,mac_growth,mac_lactose,msa_growth,mannitol,emb_growth,emb_metallic_sheen,emb_lactose,ssa_growth,ssa_lactose,h2s,tsi,sca,sim_motility,mr,vp,catalase,coagulase,oxidase,presumptive_flags,notes
A-1,A,1,Yes,Present,Negative,Bacilli,Diplobacilli/chain,Present,Gamma,Present,Non-lactose fermenter,Present,Negative,Present,No,Non-lactose fermenter,Present,Non-lactose fermenter,Negative,Not tested,Not tested,Positive,Negative,Negative,Negative,Not tested,Not tested,"Gram-negative non-lactose fermenter; motile; H2S-negative","TSI and SCA recorded as N/A; indole not recorded."
A-2,A,2,Yes,Present,Negative,Bacilli,Chains,Present,Gamma,Present,Lactose fermenter,Present,Negative,Present,Yes,Strong lactose fermenter,Present,Non-lactose fermenter,Negative,A/A,Positive,Positive,Weak positive,Negative,Not recorded,Not recorded,Not recorded,"Possible E. coli/coliform indicator based on EMB metallic sheen; citrate-positive; motile","Catalase/coagulase/oxidase not recorded in extracted result pages."
A-3,A,3,Yes,Present,Negative,Bacilli,Single/unspecified,Present,Gamma,Present,Lactose fermenter,Present,Negative,Present,Yes,Lactose fermenter,Present,Lactose fermenter,Negative,Not tested,Not tested,Positive,Positive,Negative,Negative,Not tested,Not tested,"Possible E. coli/coliform indicator based on EMB metallic sheen; MR-positive; motile","TSI and SCA recorded as N/A."
B-1,B,1,Yes,Present,Positive,Bacilli,Unspecified,Present,Gamma,Present,Lactose fermenter,Present,Positive,Present,Yes,Lactose fermenter,Present,Non-lactose fermenter,Negative,Not tested,Not tested,Not tested,Not tested,Not tested,Positive,Positive,Positive,"Possible Staphylococcus aureus indicator based on catalase/coagulase positivity; EMB suggests lactose fermenter","Some media interpretations conflict with Gram-positive stain; biochemical tests for Gram-negative panel marked N/A."
B-2,B,2,Yes,Present,Positive,Bacilli,Unspecified,Present,Gamma,Present,Non-lactose fermenter,Present,Positive,Present,No,Non-lactose fermenter,Present,Non-lactose fermenter,Negative,K/K,Positive,Positive,Positive,Negative,Positive,Positive,Positive,"Possible Staphylococcus aureus indicator; citrate-positive; motile; non-lactose fermenter","MAC/EMB growth despite Gram-positive stain should be validated."
B-3,B,3,Yes,Present,Negative,Unspecified,Unspecified,Present,Gamma,Present,Non-lactose fermenter,Little/no growth,Negative,Present,No,Non-lactose fermenter,Present,Non-lactose fermenter,Negative,Not recorded,Not recorded,Positive,Negative,Negative,Positive,Negative,Negative,"Gram-negative non-lactose fermenter; catalase-positive; oxidase-negative","TSI and SCA not recorded."
C-1,C,1,Yes,Present,Negative,Bacilli,Single,Present,Gamma,Present,Mixed,Present,Indeterminate,Present,No,Non-lactose fermenter,Present,Non-lactose fermenter,Negative,Not recorded,Not recorded,Positive,Positive,Negative,Negative,Negative,Positive,"Mixed MAC growth; possible non-lactose fermenter; oxidase-positive; possible Shigella noted in source","MSA yellow colonies but no medium change; species call should be treated as presumptive."
C-2,C,2,Yes,Present,Negative,Bacilli,Unspecified,Present,Gamma,Present,Mixed,No growth,Not applicable,Present,Yes,Strong lactose fermenter,Present,Non-lactose fermenter,Negative,Not recorded,Not recorded,Positive,Positive,Negative,Negative,Negative,Positive,"Possible E. coli indicator based on EMB metallic sheen; mixed MAC growth; oxidase-positive","TSI and SCA not recorded."
C-3,C,3,Yes,Present,Negative,Bacilli,Single,Present,Gamma,Present,Lactose fermenter,No growth,Not applicable,Present,No,Non-lactose fermenter,Present,Lactose fermenter,Negative,A/A,Positive,Positive,Positive,Negative,Negative,Negative,Positive,"Lactose fermenter on MAC/SSA; citrate-positive; oxidase-positive; MR-positive","EMB did not show metallic sheen, so E. coli was marked negative in source."
D-1,D,1,Yes,Present,Negative,Coccobacilli,Pairs/short chains,Present,Gamma,Present,Non-lactose fermenter,Present,Negative,Present,No,Non-lactose fermenter,Not tested,Not tested,Negative,Not recorded,Negative,Positive,Negative,Negative,Positive,Positive,Negative,"Non-lactose fermenter; catalase/coagulase-positive; oxidase-negative","BAP interpretation mentions Gram-positive despite Gram stain reporting Gram-negative coccobacilli."
D-2,D,2,Yes,Present,Negative,Bacilli,Pairs/short chains,Present,Gamma,Present,Non-lactose fermenter,Present,Negative,Present,No,Non-lactose fermenter,Present,Mixed,Negative,K/K,Negative,Negative,Negative,Negative,Positive,Positive,Negative,"Non-fermenter profile; catalase/coagulase-positive; oxidase-negative; non-motile","SSA reports both colorless and pink colonies."
D-3,D,3,Yes,Present,Positive,Cocci,Single/scattered,Present,Gamma,Present,Non-lactose fermenter,Present,Negative,Present,No,Non-lactose fermenter,Present,Mixed,Negative,Not recorded,Negative,Positive,Negative,Negative,Positive,Negative,Negative,"Gram-positive cocci; catalase-positive; coagulase-negative; oxidase-negative","Gram stain line includes contradictory wording, but interpretation states Gram-positive cocci."
E-1,E,1,No,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"Missing result","Blank result sheet."
E-2,E,2,No,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"Missing result","Blank result sheet."
E-3,E,3,No,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"Missing result","Blank result sheet."
F-1,F,1,Yes,Present,Negative,Bacilli,Unspecified,Present,Gamma,Present,Lactose fermenter,Present,Negative,Present,No,Indeterminate,Present,Non-lactose fermenter,Negative,Not tested,Not tested,Positive,Negative,Negative,Positive,Negative,Positive,"Gram-negative bacilli; MAC lactose fermenter; motile; oxidase-positive","EMB observation/interpretation conflict: dark colonies noted but interpreted as non-lactose/no sheen."
F-2,F,2,Yes,Present,Variable,Bacilli,Unspecified,Present,Gamma,Present,Non-lactose fermenter,Present,Negative,Present,No,Non-lactose fermenter,Present,Non-lactose fermenter,Negative,K/K,Positive,Positive,Negative,Negative,Positive,Negative,Positive,"Gram-variable but likely Gram-negative bacilli; non-lactose fermenter; citrate-positive; oxidase-positive","Source notes Gram-variable may be due to older culture or decolorizer inconsistency."
F-3,F,3,Yes,Present,Negative,Bacilli,Unspecified,Present,Gamma,Present,Non-lactose fermenter,Present,Negative,Present,Yes,Strong lactose fermenter,Present,Non-lactose fermenter,Negative,K/K,Negative,Positive,Positive,Negative,Positive,Negative,Positive,"Possible E. coli/coliform indicator based on EMB metallic sheen; MR-positive; oxidase-positive","MAC and EMB interpretations conflict: MAC non-lactose but EMB metallic sheen."
