respondent_number,date,pab1,pab2,pab3,pab4,pab5,pab6,pab7,mean_pab,ordinal_pab,hsa1,hsa2,hsa3,hsa4,hsa5,hsa6,hsa7,mean_hsa,ordinal_hsa,irs1,irs2,irs3,irs4,irs5,irs6,irs7,mean_irs,ordinal_irs,vh1,vh2,vh3,vh4,vh5,mean_vh,ordinal_vh,pab2_raw,pab3_raw,pab5_raw,pab6_raw,pab7_raw,hsa3_raw,vh2_raw,pab_score,hsa_score,irs_score,vh_score
R50,2026-02-08,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.57,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.14,4.0,4.0,5.0,5.0,4.0,5.0,3.8,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.285714285714286,4.142857142857143,4.6
R51,2026-02-08,5.0,1.0,1.0,4.0,3.0,1.0,1.0,4.57,5.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,4.43,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.57,5.0,5.0,1.0,4.0,5.0,5.0,4.8,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,2.2857142857142856,4.142857142857143,4.571428571428571,4.0
R52,2026-02-08,5.0,1.0,2.0,5.0,1.0,1.0,2.0,4.71,5.0,3.0,3.0,1.0,5.0,4.0,5.0,4.0,4.14,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.71,5.0,4.0,1.0,4.0,5.0,5.0,4.6,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.4285714285714284,3.5714285714285716,4.714285714285714,3.8
R53,2026-02-08,4.0,1.0,1.0,5.0,4.0,3.0,3.0,3.86,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.86,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.86,5.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,5.0,5.0,2.0,3.0,3.0,3.0,1.0,3.0,2.857142857142857,4.857142857142857,5.0
R54,2026-02-08,4.0,1.0,2.0,4.0,1.0,1.0,2.0,4.43,5.0,5.0,4.0,1.0,4.0,5.0,3.0,3.0,4.14,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.29,5.0,4.0,1.0,5.0,5.0,5.0,4.8,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.142857142857143,3.5714285714285716,4.285714285714286,4.0
R55,2026-02-08,5.0,2.0,1.0,4.0,1.0,1.0,2.0,4.57,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,4.86,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.43,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,2.2857142857142856,4.285714285714286,4.428571428571429,4.2
R56,2026-02-08,5.0,2.0,1.0,4.0,1.0,1.0,2.0,4.57,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,4.86,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.43,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,2.2857142857142856,4.285714285714286,4.428571428571429,4.2
R57,2026-02-08,5.0,1.0,1.0,4.0,3.0,1.0,1.0,4.57,5.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,4.43,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.57,5.0,5.0,1.0,4.0,5.0,5.0,4.8,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,2.2857142857142856,4.142857142857143,4.571428571428571,4.0
R58,2026-02-08,5.0,1.0,2.0,5.0,1.0,2.0,1.0,4.71,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2.4285714285714284,4.428571428571429,5.0,4.2
R59,2026-02-08,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.29,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.57,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.29,2.0,2.0,4.0,3.0,3.0,3.0,2.6,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.142857142857143,3.857142857142857,2.2857142857142856,3.0
R60,2026-02-08,4.0,4.0,2.0,4.0,4.0,2.0,2.0,3.43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,3.142857142857143,4.0,4.0,4.0
R61,2026-02-08,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.43,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.14,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,3.142857142857143,3.4285714285714284,3.7142857142857144,4.0
R62,2026-02-08,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.14,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.14,3.0,2.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.4,4.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.857142857142857,3.4285714285714284,3.0,3.8
R63,2026-02-08,4.0,4.0,2.0,4.0,2.0,2.0,2.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.857142857142857,4.0,4.0,4.0
R64,2026-02-08,4.0,3.0,2.0,2.0,4.0,4.0,4.0,2.71,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.14,4.0,5.0,5.0,4.0,4.0,5.0,3.8,4.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,3.2857142857142856,4.285714285714286,4.142857142857143,4.6
R65,2026-02-08,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.29,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.57,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.43,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.5714285714285716,3.857142857142857,3.4285714285714284,4.0
R66,2026-02-08,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.14,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.29,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.29,2.0,2.0,4.0,3.0,3.0,3.0,2.6,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.2857142857142856,2.0,2.2857142857142856,3.0
R67,2026-02-08,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.14,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.57,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.2857142857142856,3.4285714285714284,3.5714285714285716,4.0
R68,2026-02-08,4.0,4.0,2.0,4.0,4.0,2.0,2.0,3.43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,3.142857142857143,4.0,4.0,4.0
R69,2026-02-08,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.14,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3.4285714285714284,4.0,4.0,4.0
R70,2026-02-08,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,2.57,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.4285714285714284,2.7142857142857144,2.5714285714285716,2.6
R71,2026-02-08,5.0,1.0,2.0,4.0,2.0,2.0,5.0,3.86,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.86,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.14,4.0,5.0,2.0,5.0,3.0,5.0,4.4,5.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,3.5714285714285716,4.142857142857143,4.0
R72,2026-02-08,5.0,1.0,2.0,3.0,2.0,3.0,1.0,4.14,4.0,5.0,3.0,1.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.14,4.0,3.0,1.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,2.4285714285714284,3.4285714285714284,4.142857142857143,3.2
R73,2026-02-08,5.0,1.0,5.0,4.0,5.0,4.0,1.0,3.29,3.0,4.0,4.0,1.0,5.0,4.0,5.0,4.0,4.43,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.57,5.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,5.0,1.0,1.0,2.0,5.0,5.0,1.0,3.5714285714285716,3.857142857142857,4.571428571428571,5.0
R74,2026-02-08,5.0,1.0,3.0,3.0,1.0,2.0,1.0,4.29,5.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,4.71,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.29,5.0,4.0,2.0,3.0,3.0,4.0,3.6,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,2.2857142857142856,4.142857142857143,4.285714285714286,3.2
R75,2026-02-08,5.0,1.0,2.0,5.0,2.0,1.0,1.0,4.71,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,4.57,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.43,5.0,4.0,1.0,5.0,5.0,5.0,4.8,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,2.4285714285714284,4.285714285714286,4.428571428571429,4.0
R76,2026-02-08,5.0,1.0,2.0,5.0,2.0,1.0,3.0,4.43,5.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,4.29,5.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,4.14,4.0,5.0,1.0,5.0,4.0,4.0,4.6,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,2.7142857142857144,3.7142857142857144,4.142857142857143,3.8
R77,2026-02-08,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,4.0,4.0,4.29,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.14,4.0,3.0,1.0,5.0,5.0,5.0,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.142857142857143,3.7142857142857144,4.142857142857143,3.8
R78,2026-02-08,5.0,1.0,2.0,5.0,2.0,1.0,2.0,4.57,5.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,4.57,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.43,5.0,4.0,1.0,5.0,5.0,5.0,4.8,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,2.5714285714285716,4.0,4.428571428571429,4.0
R79,2026-02-08,4.0,1.0,2.0,5.0,1.0,1.0,1.0,4.71,5.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,4.29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.86,5.0,5.0,2.0,4.0,5.0,4.0,4.4,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,2.142857142857143,4.0,4.857142857142857,4.0
R80,2026-02-08,5.0,2.0,1.0,5.0,2.0,1.0,2.0,4.57,5.0,5.0,4.0,1.0,5.0,4.0,5.0,4.0,4.57,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.29,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,2.5714285714285716,4.0,4.285714285714286,4.2
R81,2026-02-08,5.0,4.0,3.0,5.0,4.0,4.0,5.0,2.86,3.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,4.71,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.71,5.0,5.0,4.0,5.0,5.0,5.0,4.4,5.0,2.0,3.0,2.0,2.0,1.0,5.0,2.0,4.285714285714286,4.142857142857143,4.714285714285714,4.8
R82,2026-02-08,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.57,2.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,3.57,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.86,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,3.4285714285714284,3.0,3.857142857142857,4.0
R83,2026-02-08,5.0,1.0,2.0,4.0,3.0,1.0,2.0,4.29,5.0,4.0,4.0,1.0,5.0,5.0,5.0,3.0,4.43,5.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,3.86,4.0,4.0,1.0,5.0,5.0,3.0,4.4,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,2.5714285714285716,3.857142857142857,3.857142857142857,3.6
R84,2026-02-08,4.0,4.0,2.0,4.0,2.0,2.0,2.0,3.71,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.857142857142857,3.4285714285714284,4.0,4.0
R85,2026-02-08,4.0,4.0,2.0,4.0,3.0,4.0,2.0,3.29,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,3.2857142857142856,3.142857142857143,4.0,4.0
R86,2026-02-08,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.86,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.86,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.8,4.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.142857142857143,4.142857142857143,4.0,4.2
R87,2026-02-08,4.0,4.0,2.0,5.0,4.0,3.0,2.0,3.43,4.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,4.29,5.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.43,4.0,5.0,4.0,4.0,4.0,4.0,3.8,4.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,3.4285714285714284,4.0,3.4285714285714284,4.2
R88,2026-02-08,1.0,4.0,3.0,4.0,4.0,2.0,2.0,2.86,3.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,2.0,2.43,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,2.857142857142857,2.2857142857142856,2.4285714285714284,2.6
R89,2026-02-08,5.0,4.0,2.0,5.0,4.0,2.0,2.0,3.71,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.43,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.14,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,3.4285714285714284,4.714285714285714,4.142857142857143,4.4
R90,2026-02-08,5.0,4.0,2.0,5.0,2.0,4.0,3.0,3.57,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.43,5.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,2.0,4.0,4.0,2.0,3.0,5.0,1.0,3.5714285714285716,4.428571428571429,4.428571428571429,5.0
R91,2026-02-08,5.0,5.0,4.0,5.0,4.0,2.0,2.0,3.29,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.86,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,3.857142857142857,4.285714285714286,3.857142857142857,4.8
R92,2026-02-08,4.0,5.0,5.0,5.0,1.0,1.0,2.0,3.57,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.71,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.86,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0,4.0,4.0,1.0,3.2857142857142856,2.4285714285714284,4.285714285714286,4.8
R93,2026-02-08,5.0,3.0,2.0,3.0,4.0,2.0,2.0,3.57,4.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,3.29,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.29,5.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.857142857142857,4.0
R94,2026-02-08,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.57,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.86,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.86,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.857142857142857,4.0,4.4
R95,2026-02-08,4.0,1.0,2.0,2.0,4.0,2.0,4.0,3.29,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,3.0,2.7142857142857144,4.285714285714286,4.0,4.0
R96,2026-02-08,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.43,2.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.71,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.86,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.5714285714285716,4.0,3.857142857142857,4.0
R97,2026-02-08,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,4.71,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.43,5.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,4.142857142857143,4.142857142857143,4.428571428571429,5.0
R98,2026-02-08,5.0,1.0,4.0,4.0,4.0,4.0,4.0,3.14,3.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.86,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.71,5.0,4.0,5.0,5.0,4.0,5.0,3.8,4.0,5.0,2.0,2.0,2.0,2.0,5.0,1.0,3.7142857142857144,4.285714285714286,4.714285714285714,4.6
R99,2026-02-08,5.0,5.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,4.43,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.71,5.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,1.0,5.0,3.0,1.0,1.0,4.0,1.0,4.142857142857143,4.142857142857143,4.714285714285714,5.0
