respondent_number,date,pab1,pab2,pab3,pab4,pab5,pab6,pab7,mean_pab,ordinal_pab,hsa1,hsa2,hsa3,hsa4,hsa5,hsa6,hsa7,mean_hsa,ordinal_hsa,irs1,irs2,irs3,irs4,irs5,irs6,irs7,mean_irs,ordinal_irs,vh1,vh2,vh3,vh4,vh5,mean_vh,ordinal_vh,pab2_raw,pab3_raw,pab5_raw,pab6_raw,pab7_raw,hsa3_raw,vh2_raw,pab_score,hsa_score,irs_score,vh_score
R100,2026-02-08,5.0,1.0,3.0,4.0,2.0,4.0,4.0,3.57,4.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.86,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.14,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,2.0,5.0,1.0,3.2857142857142856,4.285714285714286,4.142857142857143,4.8
R101,2026-02-08,4.0,4.0,2.0,4.0,4.0,3.0,2.0,3.29,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.43,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.43,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,3.2857142857142856,3.7142857142857144,3.4285714285714284,4.0
R102,2026-02-08,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.86,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.29,2.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.5714285714285716,3.142857142857143,2.2857142857142856,4.0
R103,2026-02-08,5.0,5.0,2.0,5.0,4.0,4.0,2.0,3.29,3.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.14,4.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,3.71,4.0,5.0,4.0,5.0,5.0,5.0,4.4,5.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,3.857142857142857,3.857142857142857,3.7142857142857144,4.8
R104,2026-02-08,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.57,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.2,3.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,3.4285714285714284,4.0,4.0,4.0
R105,2026-02-08,5.0,5.0,4.0,5.0,2.0,3.0,4.0,3.14,3.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.86,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.29,5.0,4.0,4.0,5.0,5.0,5.0,4.2,5.0,1.0,2.0,4.0,3.0,2.0,5.0,2.0,4.0,4.285714285714286,4.285714285714286,4.6
R106,2026-02-08,4.0,4.0,3.0,2.0,4.0,4.0,2.0,2.71,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.14,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.2857142857142856,4.0,4.142857142857143,4.0
R107,2026-02-08,5.0,3.0,5.0,5.0,5.0,5.0,3.0,2.71,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.71,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.29,5.0,5.0,4.0,5.0,5.0,5.0,4.4,5.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,4.428571428571429,3.4285714285714284,4.285714285714286,4.8
R108,2026-02-08,4.0,4.0,2.0,4.0,4.0,2.0,2.0,3.43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,3.142857142857143,4.0,3.7142857142857144,4.0
R109,2026-02-08,4.0,2.0,1.0,4.0,1.0,2.0,3.0,4.14,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.86,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.57,5.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,2.4285714285714284,3.5714285714285716,4.571428571428571,3.6
R110,2026-02-08,4.0,4.0,2.0,4.0,2.0,2.0,2.0,3.71,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.57,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.43,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.857142857142857,2.2857142857142856,3.4285714285714284,4.0
R111,2026-02-08,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.71,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.14,3.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.86,3.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.2857142857142856,2.857142857142857,2.857142857142857,4.0
R112,2026-02-08,4.0,4.0,2.0,4.0,3.0,2.0,2.0,3.57,4.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,2.29,2.0,4.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.5714285714285716,3.0,4.0
R113,2026-02-08,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.29,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.43,2.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,2.86,3.0,2.0,4.0,3.0,2.0,3.0,2.4,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.142857142857143,2.142857142857143,2.857142857142857,2.8
R114,2026-02-08,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.14,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.71,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.57,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.7142857142857144,3.0,3.5714285714285716,4.0
R115,2026-02-08,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.29,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.57,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.57,2.0,3.0,4.0,3.0,3.0,3.0,2.8,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.7142857142857144,2.2857142857142856,2.5714285714285716,3.2
R116,2026-02-08,3.0,4.0,2.0,4.0,2.0,2.0,2.0,3.57,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.7142857142857144,4.0,4.0,4.0
R117,2026-02-08,5.0,1.0,2.0,3.0,1.0,3.0,2.0,4.14,4.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.71,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.4,5.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,2.4285714285714284,4.428571428571429,5.0,4.8
R118,2026-02-08,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.43,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.29,5.0,5.0,2.0,4.0,4.0,4.0,4.2,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.5714285714285716,4.428571428571429,4.285714285714286,3.8
R119,2026-02-08,5.0,1.0,2.0,5.0,2.0,1.0,2.0,4.57,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.86,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.57,5.0,5.0,2.0,4.0,5.0,4.0,4.4,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,2.5714285714285716,3.857142857142857,4.571428571428571,4.0
R120,2026-02-08,5.0,1.0,2.0,5.0,2.0,1.0,2.0,4.57,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.86,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.57,5.0,5.0,2.0,4.0,5.0,4.0,4.4,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,2.5714285714285716,3.857142857142857,4.571428571428571,4.0
R121,2026-02-08,5.0,2.0,2.0,4.0,2.0,2.0,1.0,4.29,5.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0,4.43,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.86,5.0,4.0,1.0,5.0,5.0,5.0,4.8,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,2.5714285714285716,4.142857142857143,4.857142857142857,4.0
R122,2026-02-08,5.0,1.0,2.0,5.0,2.0,2.0,3.0,4.29,5.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,4.71,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.86,5.0,4.0,2.0,5.0,5.0,3.0,4.2,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,2.857142857142857,4.142857142857143,4.857142857142857,3.8
R123,2026-02-08,4.0,2.0,1.0,5.0,2.0,2.0,1.0,4.43,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.14,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.14,4.0,5.0,2.0,4.0,4.0,4.0,4.2,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,2.4285714285714284,3.857142857142857,4.142857142857143,3.8
R124,2026-02-08,4.0,2.0,1.0,4.0,1.0,2.0,2.0,4.29,5.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,4.29,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.29,5.0,5.0,2.0,4.0,5.0,4.0,4.4,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.2857142857142856,4.0,4.285714285714286,4.0
R125,2026-02-08,4.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,3.86,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.86,4.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,2.857142857142857,3.2857142857142856,3.857142857142857,3.6
R126,2026-02-08,5.0,2.0,2.0,4.0,1.0,2.0,1.0,4.43,5.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,3.86,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.29,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,2.4285714285714284,3.857142857142857,4.285714285714286,3.6
R127,2026-02-08,4.0,2.0,1.0,4.0,1.0,2.0,3.0,4.14,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.86,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.57,5.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,2.4285714285714284,3.5714285714285716,4.571428571428571,3.6
R128,2026-02-08,4.0,1.0,2.0,5.0,2.0,1.0,2.0,4.43,5.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,4.29,5.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.29,3.0,3.0,1.0,5.0,3.0,5.0,4.2,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,2.4285714285714284,4.0,3.2857142857142856,3.4
R129,2026-02-08,1.0,5.0,5.0,2.0,5.0,5.0,5.0,1.14,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.5714285714285714,1.0,1.8
R130,2026-02-08,5.0,1.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,4.0,4.57,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.29,5.0,4.0,5.0,5.0,4.0,5.0,3.8,4.0,5.0,4.0,3.0,3.0,3.0,5.0,1.0,3.142857142857143,4.0,4.285714285714286,4.6
R131,2026-02-08,5.0,5.0,4.0,2.0,4.0,4.0,2.0,2.57,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,3.43,4.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,4.6,5.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,3.7142857142857144,4.0,3.0,4.6
R132,2026-02-08,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.43,4.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,3.71,4.0,4.0,2.0,4.0,5.0,2.0,3.0,2.0,3.14,3.0,5.0,4.0,5.0,5.0,5.0,4.4,5.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,2.2857142857142856,3.142857142857143,3.142857142857143,4.8
R133,2026-02-08,5.0,5.0,2.0,5.0,2.0,2.0,2.0,3.86,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.57,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.4,5.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.2857142857142856,4.571428571428571,4.0,4.8
R134,2026-02-08,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.71,3.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,2.43,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.857142857142857,3.0,3.0,5.0
R135,2026-02-08,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.43,4.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,4.43,5.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.57,4.0,5.0,3.0,5.0,5.0,4.0,4.4,5.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.142857142857143,4.142857142857143,3.5714285714285716,4.4
R136,2026-02-08,4.0,5.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,3.29,3.0,4.0,5.0,5.0,4.0,5.0,3.8,4.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,3.5714285714285716,4.0,3.2857142857142856,4.6
R137,2026-02-08,5.0,5.0,2.0,5.0,4.0,2.0,2.0,3.57,4.0,5.0,5.0,1.0,4.0,4.0,5.0,3.0,4.43,5.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,3.86,4.0,5.0,3.0,5.0,4.0,5.0,4.4,5.0,1.0,4.0,2.0,4.0,4.0,5.0,3.0,3.5714285714285716,3.857142857142857,3.857142857142857,4.4
R138,2026-02-08,5.0,5.0,2.0,5.0,5.0,4.0,4.0,2.86,3.0,2.0,5.0,5.0,2.0,4.0,5.0,5.0,3.43,4.0,2.0,3.0,5.0,5.0,5.0,3.0,1.0,3.43,4.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,4.285714285714286,4.0,3.4285714285714284,5.0
R139,2026-02-09,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.29,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.86,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.4,5.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,2.7142857142857144,3.857142857142857,3.0,4.8
R140,2026-02-09,4.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.14,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.86,4.0,3.0,2.0,5.0,5.0,5.0,4.4,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,2.5714285714285716,3.5714285714285716,3.857142857142857,4.0
R141,2026-02-09,4.0,5.0,5.0,3.0,2.0,3.0,2.0,2.86,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.14,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.43,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,3.4285714285714284,3.7142857142857144,3.4285714285714284,4.8
R142,2026-02-09,5.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,3.14,3.0,3.0,5.0,4.0,2.0,2.0,3.0,1.0,2.86,3.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,1.0,3.0,3.0,1.0,3.0,5.0,1.0,4.142857142857143,2.5714285714285716,2.857142857142857,5.0
R143,2026-02-09,4.0,4.0,2.0,5.0,4.0,4.0,2.0,3.29,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.14,3.0,5.0,4.0,5.0,5.0,5.0,4.4,5.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.5714285714285716,4.0,3.142857142857143,4.8
R144,2026-02-09,5.0,1.0,3.0,5.0,3.0,1.0,2.0,4.29,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,4.86,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.86,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,1.0,2.857142857142857,4.285714285714286,4.857142857142857,4.8
R145,2026-02-09,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.14,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,3.29,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.4285714285714284,4.0,3.2857142857142856,4.4
R146,2026-02-09,5.0,5.0,4.0,2.0,4.0,3.0,2.0,2.71,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.4,5.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,3.5714285714285716,4.0,4.0,4.0
R147,2026-02-09,4.0,4.0,2.0,3.0,4.0,2.0,2.0,3.29,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.86,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,3.0,3.7142857142857144,3.857142857142857,4.8
R148,2026-02-09,5.0,5.0,1.0,5.0,4.0,4.0,2.0,3.43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.71,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,2.0,2.0,4.0,2.0,4.0,3.7142857142857144,4.0,3.7142857142857144,3.6
R149,2026-02-09,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.142857142857143,4.428571428571429,5.0,4.4
R150,2026-02-09,4.0,5.0,3.0,5.0,2.0,2.0,2.0,3.57,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.57,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,3.14,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,3.2857142857142856,3.857142857142857,3.142857142857143,4.8
