Category of Palay,Arduino Values,Value in NFA,,,,,,,,,,,,,,
Over Dry,0,10.90%,,,,,,,,,,,,,,
Dry,28-32 ADC,11-14%,,,,,,,,,,,,,,
Wet,642 ADC,14.1-40%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trials,,,,,,,,,,,,,,,,
1,Overdry,0 ADC,,,,,,,,,,,,,,
2,Overdry,1 ADC,,,,,,,,,,,,,,
3,Overdry,3 ADC,,,,,,,,,,,,,,
4,Overdry,2 ADC,,,,,,,,,,,,,,
5,Overdry,1 ADC,,,,,,,,,,,,,,
6,Overdry,4 ADC,,,,,,,,,,,,,,
7,Overdry,6 ADC,,,,,,,,,,,,,,
8,Overdry,20 ADC,,,,,,,,,,,,,,
9,Overdry,24 ADC,,,,,,,,,,,,,,
10,Overdry,43 ADC,,,,,,,,,,,,,,
11,Overdry,34 ADC,,,,,,,,,,,,,,
12,Overdry,52 ADC,,,,,,,,,,,,,,
13,Overdry,35 ADC,,,,,,,,,,,,,,
14,Overdry,12 ADC,,,,,,,,,,,,,,
15,Overdry,16 ADC,,,,,,,,,,,,,,
16,Overdry,28 ADC,,,,,,,,,,,,,,
17,Overdry,24 ADC,,,,,,,,,,,,,,
18,Overdry,10 ADC,,,,,,,,,,,,,,
19,Overdry,20 ADC,,,,,,,,,,,,,,
20,Overdry,14 ADC,,,,,,,,,,,,,,
21,Overdry,42 ADC,,,,,,,,,,,,,,
22,Overdry,50 ADC,,,,,,,,,,,,,,
23,Overdry,52 ADC,,,,,,,,,,,,,,
24,Overdry,51 ADC,,,,,,,,,,,,,,
25,Overdry,170 ADC,,,,,,,,,,,,,,
26,Overdry,102 ADC,,,,,,,,,,,,,,
27,Overdry,93 ADC,,,,,,,,,,,,,,
28,Overdry,116 ADC,,,,,,,,,,,,,,
29,Overdry,96 ADC,,,,,,,,,,,,,,
30,Overdry,70 ADC,,,,,,,,,,,,,,
31,Overdry,36 ADC,,,,,,,,,,,,,,
32,Overdry,58 ADC,,,,,,,,,,,,,,
33,Overdry,56 ADC,,,,,,,,,,,,,,
34,Overdry,44 ADC,,,,,,,,,,,,,,
35,Overdry,98 ADC,,,,,,,,,,,,,,
36,Overdry,84 ADC,,,,,,,,,,,,,,
37,Overdry,105 ADC,,,,,,,,,,,,,,
38,Overdry,121 ADC,,,,,,,,,,,,,,
39,Overdry,134 ADC,,,,,,,,,,,,,,
40,Overdry,143 ADC,,,,,,,,,,,,,,
41,Overdry,74 ADC,,,,,,,,,,,,,,
42,Overdry,112 ADC,,,,,,,,,,,,,,
43,Overdry,127 ADC,,,,,,,,,,,,,,
44,Overdry,89 ADC,,,,,,,,,,,,,,
45,Overdry,99 ADC,,,,,,,,,,,,,,
46,Overdry,17 ADC,,,,,,,,,,,,,,
47,Overdry,29 ADC,,,,,,,,,,,,,,
48,Overdry,164 ADC,,,,,,,,,,,,,,
49,Overdry,34 ADC,,,,,,,,,,,,,,
50,Overdry,112 ADC,,,,,,,,,,,,,,
51, Dry,424 ADC,,,,,,,,,,,,,,
52, Dry,435 ADC,,,,,,,,,,,,,,
53, Dry,307 ADC,,,,,,,,,,,,,,
54, Dry,419 ADC,,,,,,,,,,,,,,
55, Dry,371 ADC,,,,,,,,,,,,,,
56, Dry,504 ADC,,,,,,,,,,,,,,
57, Dry,446 ADC,,,,,,,,,,,,,,
58, Dry,615 ADC,,,,,,,,,,,,,,
59, Dry,353 ADC,,,,,,,,,,,,,,
60, Dry,311 ADC,,,,,,,,,,,,,,
61, Dry,360 ADC,,,,,,,,,,,,,,
62, Dry,484 ADC,,,,,,,,,,,,,,
63, Dry,541 ADC,,,,,,,,,,,,,,
64, Dry,455 ADC,,,,,,,,,,,,,,
65, Dry,382 ADC,,,,,,,,,,,,,,
66, Dry,485 ADC,,,,,,,,,,,,,,
67, Dry,393 ADC,,,,,,,,,,,,,,
68, Dry,440 ADC,,,,,,,,,,,,,,
69, Dry,561 ADC,,,,,,,,,,,,,,
70, Dry,500 ADC,,,,,,,,,,,,,,
71, Dry,365 ADC,,,,,,,,,,,,,,
72, Dry,386 ADC,,,,,,,,,,,,,,
73, Dry,394 ADC,,,,,,,,,,,,,,
74, Dry,400 ADC,,,,,,,,,,,,,,
75, Dry,431 ADC,,,,,,,,,,,,,,
76, Dry,459 ADC,,,,,,,,,,,,,,
77, Dry,515 ADC,,,,,,,,,,,,,,
78, Dry,509 ADC,,,,,,,,,,,,,,
79, Dry,583 ADC,,,,,,,,,,,,,,
80, Dry,526 ADC,,,,,,,,,,,,,,
81, Dry,467 ADC,,,,,,,,,,,,,,
82, Dry,499 ADC,,,,,,,,,,,,,,
83, Dry,554 ADC,,,,,,,,,,,,,,
84, Dry,520 ADC,,,,,,,,,,,,,,
85, Dry,508 ADC,,,,,,,,,,,,,,
86, Dry,469 ADC,,,,,,,,,,,,,,
87, Dry,521 ADC,,,,,,,,,,,,,,
88, Dry,556 ADC,,,,,,,,,,,,,,
89, Dry,547 ADC,,,,,,,,,,,,,,
90, Dry,550 ADC,,,,,,,,,,,,,,
91, Dry,505 ADC,,,,,,,,,,,,,,
92, Dry,502 ADC,,,,,,,,,,,,,,
93, Dry,339 ADC,,,,,,,,,,,,,,
94, Dry,481 ADC,,,,,,,,,,,,,,
95, Dry,433 ADC,,,,,,,,,,,,,,
96, Dry,531 ADC,,,,,,,,,,,,,,
97, Dry,566 ADC,,,,,,,,,,,,,,
98, Dry,577 ADC,,,,,,,,,,,,,,
99, Dry,492 ADC,,,,,,,,,,,,,,
100, Dry,484 ADC,,,,,,,,,,,,,,
101,Wet,657 ADC,,,,,,,,,,,,,,
102,Wet,628 ADC,,,,,,,,,,,,,,
103,Wet,644 ADC,,,,,,,,,,,,,,
104,Wet,661 ADC,,,,,,,,,,,,,,
105,Wet,672 ADC,,,,,,,,,,,,,,
106,Wet,669 ADC,,,,,,,,,,,,,,
107,Wet,656 ADC,,,,,,,,,,,,,,
108,Wet,679 ADC,,,,,,,,,,,,,,
109,Wet,709 ADC,,,,,,,,,,,,,,
110,Wet,704 ADC,,,,,,,,,,,,,,
111,Wet,697 ADC,,,,,,,,,,,,,,
112,Wet,681 ADC,,,,,,,,,,,,,,
113,Wet,693 ADC,,,,,,,,,,,,,,
114,Wet,736 ADC,,,,,,,,,,,,,,
115,Wet,721 ADC,,,,,,,,,,,,,,
116,Wet,712 ADC,,,,,,,,,,,,,,
117,Wet,708 ADC,,,,,,,,,,,,,,
118,Wet,653 ADC,,,,,,,,,,,,,,
119,Wet,718 ADC,,,,,,,,,,,,,,
120,Wet,706 ADC,,,,,,,,,,,,,,
121,Wet,785 ADC,,,,,,,,,,,,,,
122,Wet,722 ADC,,,,,,,,,,,,,,
123,Wet,758 ADC,,,,,,,,,,,,,,
124,Wet,739 ADC,,,,,,,,,,,,,,
125,Wet,749 ADC,,,,,,,,,,,,,,
126,Wet,715 ADC,,,,,,,,,,,,,,
127,Wet,743 ADC,,,,,,,,,,,,,,
128,Wet,726 ADC,,,,,,,,,,,,,,
129,Wet,769 ADC,,,,,,,,,,,,,,
130,Wet,776 ADC,,,,,,,,,,,,,,
131,Wet,766 ADC,,,,,,,,,,,,,,
132,Wet,749 ADC,,,,,,,,,,,,,,
133,Wet,689 ADC,,,,,,,,,,,,,,
134,Wet,694 ADC,,,,,,,,,,,,,,
135,Wet,701 ADC,,,,,,,,,,,,,,
136,Wet,741 ADC,,,,,,,,,,,,,,
137,Wet,700 ADC,,,,,,,,,,,,,,
138,Wet,781 ADC,,,,,,,,,,,,,,
139,Wet,763 ADC,,,,,,,,,,,,,,
140,Wet,749 ADC,,,,,,,,,,,,,,
141,Wet,755 ADC,,,,,,,,,,,,,,
142,Wet,745 ADC,,,,,,,,,,,,,,
143,Wet,727 ADC,,,,,,,,,,,,,,
144,Wet,748 ADC,,,,,,,,,,,,,,
145,Wet,787 ADC,,,,,,,,,,,,,,
146,Wet,772 ADC,,,,,,,,,,,,,,
147,Wet,738 ADC,,,,,,,,,,,,,,
148,Wet,801 ADC,,,,,,,,,,,,,,
149,Wet,774 ADC,,,,,,,,,,,,,,
150,Wet,778 ADC,,,,,,,,,,,,,,